file_id,make,normalized_make,model,normalized_model
a4960-kme_0352,Sony,Sony,DSLR-A900,DSLR-A900
a4613-_DGW9045,Nikon,Nikon,D700,D700
a4654-Duggan_090221_5150,Canon,Canon,EOS 5D,EOS 5D
a4940-MB_070908_065,Canon,Canon,EOS 5D,EOS 5D
a4855-Duggan_090323_6207,Canon,Canon,EOS 5D,EOS 5D
a4531-_DGW7866,Nikon,Nikon,D700,D700
a4822-DSC_0061,Nikon,Nikon,D80,D80
a4878-Duggan_080207_5155,Canon,Canon,EOS 5D,EOS 5D
a4257-DSC_0104-2,Nikon,Nikon,D70s,D70s
a4493-Duggan_090322_6041,Canon,Canon,EOS 5D,EOS 5D
a4846-Duggan_050714_1952,Canon,Canon,EOS 10D,EOS 10D
a4377-IMG_4929,Canon,Canon,EOS 450D,EOS 450D
a4253-kme_0125,Sony,Sony,DSLR-A900,DSLR-A900
a4707-_MG_9369,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4468-Duggan_081122_3260,Canon,Canon,EOS 5D,EOS 5D
a4937-DSC_0419,Nikon,Nikon,D80,D80
a4953-Duggan_090330_6272,Canon,Canon,EOS 5D,EOS 5D
a4272-DSC_0398,Nikon,Nikon,D80,D80
a4445-kme_0333,Sony,Sony,DSLR-A900,DSLR-A900
a4655-20090214_at_00h14m18__78U3080,Canon,Canon,EOS-1D Mark III,EOS-1D Mark III
a4880-09-05-19-at-19h14m11s-_MG_9569,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4757-DSC_0406,Nikon,Nikon,D80,D80
a4966-Duggan_090124_4744,Canon,Canon,EOS 5D,EOS 5D
a4987-_DGW0297,Nikon,Nikon,D700,D700
a4213-DSC_0016,Nikon,Nikon,D70s,D70s
a4820-DSC_0210,Nikon,Nikon,D80,D80
a4657-DSC_0196,Nikon,Nikon,D80,D80
a4731-DSC_0050,Nikon,Nikon,D70s,D70s
a4289-DSC_0130,Nikon,Nikon,D70s,D70s
a4973-DSC_0162,Nikon,Nikon,D80,D80
a4710-DSC_0077,Nikon,Nikon,D70s,D70s
a4393-kme_0617,Sony,Sony,DSLR-A900,DSLR-A900
a4730-DSC_0148,Nikon,Nikon,D80,D80
a4511-Duggan_090504_9050,Canon,Canon,EOS 5D,EOS 5D
a4660-kme_0489,Sony,Sony,DSLR-A900,DSLR-A900
a4735-Duggan_090307_5553,Canon,Canon,EOS 5D,EOS 5D
a4729-_DGW0345,Nikon,Nikon,D700,D700
a4227-Duggan_090504_8946,Canon,Canon,EOS 5D,EOS 5D
a4449-DSC_0030,Nikon,Nikon,D80,D80
a4905-DSC_0012,Nikon,Nikon,D70s,D70s
a4970-DSC_0377,Nikon,Nikon,D80,D80
a4578-DSC_0055,Nikon,Nikon,D70s,D70s
a4427-DSC_0466,Nikon,Nikon,D80,D80
a4792-20090417_at_18h06m12__MG_1956,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4418-kme_0663,Sony,Sony,DSLR-A900,DSLR-A900
a4882-DSC_0337,Nikon,Nikon,D80,D80
a4868-DSC_0030-2,Nikon,Nikon,D70s,D70s
a4850-_DGW9453,Nikon,Nikon,D700,D700
a4925-_DGW7848,Nikon,Nikon,D700,D700
a4441-_DGW0274,Nikon,Nikon,D700,D700
a4356-_DSC1335,Nikon,Nikon,D700,D700
a4425-DSC_0007,Nikon,Nikon,D80,D80
a4446-dvf_074,Leica,Leica,M8,M8
a4867-DSC_0350,Nikon,Nikon,D80,D80
a4335-Duggan_090123_4520,Canon,Canon,EOS 5D,EOS 5D
a4279-WP_CRW_0610,Canon,Canon,EOS 10D,EOS 10D
a4949-09-05-15-at-23h32m37s-_MG_9407,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4835-Duggan_090426_7891,Canon,Canon,EOS 5D,EOS 5D
a4586-Duggan_090428_8010,Canon,Canon,EOS 5D,EOS 5D
a4558-Duggan_080410_5878,Canon,Canon,EOS 5D,EOS 5D
a4726-DSC_0120,Nikon,Nikon,D70s,D70s
a4975-20090414_at_22h52m18__MG_1358,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4879-IMG_3712,Canon,Canon,EOS 450D,EOS 450D
a4666-_DGW0244,Nikon,Nikon,D700,D700
a4889-_DSC0067,Nikon,Nikon,D70s,D70s
a4748-kme_0969,Sony,Sony,DSLR-A900,DSLR-A900
a4985-jmac_MG_7412,Canon,Canon,EOS 5D,EOS 5D
a4741-DSC_0135,Nikon,Nikon,D80,D80
a4923-DSC_0013,Nikon,Nikon,D70s,D70s
a4297-_DSC0034,Nikon,Nikon,D70s,D70s
a4537-kme_0119,Sony,Sony,DSLR-A900,DSLR-A900
a4734-20090419_at_21h42m39__MG_2399,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4422-DSC_0110,Nikon,Nikon,D70s,D70s
a4816-_DSC0008,Nikon,Nikon,D70s,D70s
a4638-DSC_0281,Nikon,Nikon,D80,D80
a4791-Duggan_090131_4873,Canon,Canon,EOS 5D,EOS 5D
a4317-DSC_0224,Nikon,Nikon,D80,D80
a4567-WP_CRW_4310,Canon,Canon,EOS 10D,EOS 10D
a4978-_DSC0032-2,Nikon,Nikon,D70s,D70s
a4217-DSC_0142,Nikon,Nikon,D80,D80
a4252-DSC_0104,Nikon,Nikon,D80,D80
a4686-DSC_0438,Nikon,Nikon,D80,D80
a4980-20090328_at_06h47m42__MG_1211,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4881-Duggan_090405_7225,Canon,Canon,EOS 5D,EOS 5D
a4939-_DGW0287,Nikon,Nikon,D700,D700
a4259-kme_0610,Sony,Sony,DSLR-A900,DSLR-A900
a4341-kme_00064,Sony,Sony,DSLR-A900,DSLR-A900
a4845-kme_468,Canon,Canon,EOS 20D,EOS 20D
a4498-DSC_0098,Nikon,Nikon,D80,D80
a4338-DSC_0206,Nikon,Nikon,D80,D80
a4385-_DGW9650,Nikon,Nikon,D700,D700
a4477-20090327_at_06h09m52__MG_0855,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4888-Duggan_081024_2295,Canon,Canon,EOS 5D,EOS 5D
a4651-_DGW0292,Nikon,Nikon,D700,D700
a4560-Duggan_090405_7058,Canon,Canon,EOS 5D,EOS 5D
a4286-kme_090,Canon,Canon,EOS 40D,EOS 40D
a4610-_DGW0346,Nikon,Nikon,D700,D700
a4277-_DSC0072,Nikon,Nikon,D70s,D70s
a4884-DSC_0207,Nikon,Nikon,D80,D80
a4463-Duggan_081024_2100,Canon,Canon,EOS 5D,EOS 5D
a4709-_DGW0275,Nikon,Nikon,D700,D700
a4366-DSC_0447,Nikon,Nikon,D80,D80
a4457-_DSC0012-5,Nikon,Nikon,D70s,D70s
a4984-DSC_0440,Nikon,Nikon,D80,D80
a4627-LS20050429d650046,Canon,Canon,EOS-1Ds Mark II,EOS-1Ds Mark II
a4267-20090414_at_23h13m08__MG_1367,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4788-09-05-19-at-18h59m11s-_MG_9557,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4828-Duggan_050710_1299,Canon,Canon,EOS 10D,EOS 10D
a4653-_DSC0086,Nikon,Nikon,D70s,D70s
a4500-Duggan_090428_8065,Canon,Canon,EOS 5D,EOS 5D
a4761-Duggan_090504_8960,Canon,Canon,EOS 5D,EOS 5D
a4616-20090417_at_17h35m52__MG_1887,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4280-DSC_0050,Nikon,Nikon,D80,D80
a4751-Duggan_080819_1030,Canon,Canon,EOS 5D,EOS 5D
a4898-Duggan_090212_5075,Canon,Canon,EOS 5D,EOS 5D
a4948-_DGW7855,Nikon,Nikon,D700,D700
a4784-DSC_0007-3,Nikon,Nikon,D70s,D70s
a4832-kme_321,Nikon,Nikon,D100,D100
a4797-DSC_0455,Nikon,Nikon,D80,D80
a4467-Duggan_090426_7873,Canon,Canon,EOS 5D,EOS 5D
a4777-MB_040516_042,Canon,Canon,EOS D60,EOS D60
a4689-IMG_4071,Canon,Canon,EOS 450D,EOS 450D
a4639-09-05-17-at-19h55m45s-_MG_9244,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4453-_DGW0267,Nikon,Nikon,D700,D700
a4706-DSC_0066,Nikon,Nikon,D70s,D70s
a4334-kme_00587,Sony,Sony,DSLR-A900,DSLR-A900
a4570-_DGW0236,Nikon,Nikon,D700,D700
a4684-_DGW0286,Nikon,Nikon,D700,D700
a4392-Duggan_090331_6554,Canon,Canon,EOS 5D,EOS 5D
a4465-DSC_0051,Nikon,Nikon,D70s,D70s
a4291-20090417_at_18h46m58__MG_2026,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4951-_DGW0252,Nikon,Nikon,D700,D700
a4226-kme_0501,Sony,Sony,DSLR-A900,DSLR-A900
a4288-DSC_0137,Nikon,Nikon,D80,D80
a4809-DSC_0077-2,Nikon,Nikon,D70s,D70s
a4523-_DSC0015,Nikon,Nikon,D70s,D70s
a4659-_DSC0041-1,Nikon,Nikon,D70s,D70s
a4946-kme_0694,Sony,Sony,DSLR-A900,DSLR-A900
a4893-DSC_0107,Nikon,Nikon,D70s,D70s
a4218-_DGW6302,Nikon,Nikon,D700,D700
a4454-DSC_0101,Nikon,Nikon,D80,D80
a4455-Duggan_080106_4325,Canon,Canon,EOS 5D,EOS 5D
a4582-DSC_0343,Nikon,Nikon,D80,D80
a4911-20090420_at_11h48m05__MG_2417,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4769-Duggan_090320_5608,Canon,Canon,EOS 5D,EOS 5D
a4956-_DSC0012,Nikon,Nikon,D70s,D70s
a4577-DSC_0111,Nikon,Nikon,D70s,D70s
a4379-20090327_at_02h48m10__MG_0384,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4637-_DSC2592,Nikon,Nikon,D700,D700
a4646-DSC_0330,Nikon,Nikon,D70s,D70s
a4609-20090430_at_23h09m05__MG_9199,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4304-09-05-19-at-18h03m17s-_MG_9540,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4721-09-05-19-at-19h00m30s-_MG_9558,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4212-Duggan_090321_5925,Canon,Canon,EOS 5D,EOS 5D
a4295-20090426_at_13h13m22__MG_0460,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4625-KE_-0065,Nikon,Nikon,D100,D100
a4285-kme_0483,Sony,Sony,DSLR-A900,DSLR-A900
a4396-DSC_0073-2,Nikon,Nikon,D70s,D70s
a4241-_DSC0059,Nikon,Nikon,D70s,D70s
a4415-kme_0239,Sony,Sony,DSLR-A900,DSLR-A900
a4918-Duggan_080324_5694,Canon,Canon,EOS 5D,EOS 5D
a4308-Duggan_090209_4996,Canon,Canon,EOS 5D,EOS 5D
a4992-09-05-19-at-20h54m07s-_MG_9601,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4740-Duggan_080120_4782,Canon,Canon,EOS 5D,EOS 5D
a4744-_DSC0038,Nikon,Nikon,D70s,D70s
a4894-DSC_0009,Nikon,Nikon,D70s,D70s
a4437-20090326_at_03h22m38__MG_0355,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4327-Duggan_080127_4972,Canon,Canon,EOS 5D,EOS 5D
a4644-Duggan_090214_5136,Canon,Canon,EOS 5D,EOS 5D
a4391-_DGW0277,Nikon,Nikon,D700,D700
a4544-DSC_0252,Nikon,Nikon,D80,D80
a4626-DSC_0476,Nikon,Nikon,D80,D80
a4552-DSC_0188,Nikon,Nikon,D80,D80
a4793-Duggan_090330_6227,Canon,Canon,EOS 5D,EOS 5D
a4801-_DGW0327,Nikon,Nikon,D700,D700
a4719-_DSC1342,Nikon,Nikon,D700,D700
a4728-DSC_0082,Nikon,Nikon,D70s,D70s
a4321-kme_0635,Sony,Sony,DSLR-A900,DSLR-A900
a4436-DSC_0153,Nikon,Nikon,D80,D80
a4524-Duggan_080326_5805,Canon,Canon,EOS 5D,EOS 5D
a4533-DSC_0286,Nikon,Nikon,D80,D80
a4232-Duggan_090323_6181,Canon,Canon,EOS 5D,EOS 5D
a4371-_DSC0125,Nikon,Nikon,D70s,D70s
a4581-_DGW0256,Nikon,Nikon,D700,D700
a4258-_DSC0012-4,Nikon,Nikon,D70s,D70s
a4491-09-05-17-at-20h14m55s-_MG_9251,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4496-kme_0609,Sony,Sony,DSLR-A900,DSLR-A900
a4749-20090415_at_19h11m53__MG_1442,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4565-Duggan_090504_9023,Canon,Canon,EOS 5D,EOS 5D
a4589-Duggan_090426_7840,Canon,Canon,EOS 5D,EOS 5D
a4410-kme_0458,Sony,Sony,DSLR-A900,DSLR-A900
a4394-Duggan_090127_4837,Canon,Canon,EOS 5D,EOS 5D
a4643-DSC_0006,Nikon,Nikon,D70s,D70s
a4313-Duggan_080413_6158,Canon,Canon,EOS 5D,EOS 5D
a4687-DSC_0038,Nikon,Nikon,D80,D80
a4458-DSC_0401,Nikon,Nikon,D80,D80
a4870-09-05-17-at-20h25m14s-_MG_9253,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4790-kme_1092,Sony,Sony,DSLR-A900,DSLR-A900
a4758-_DSC0023,Nikon,Nikon,D70s,D70s
a4701-kme_0138,Sony,Sony,DSLR-A900,DSLR-A900
a4969-Duggan_080819_1109,Canon,Canon,EOS 5D,EOS 5D
a4470-Duggan_090123_4566,Canon,Canon,EOS 5D,EOS 5D
a4548-Duggan_080130_5029,Canon,Canon,EOS 5D,EOS 5D
a4895-DSC_0017,Nikon,Nikon,D80,D80
a4220-Duggan_090305_5359,Canon,Canon,EOS 5D,EOS 5D
a4671-DSC_0026,Nikon,Nikon,D70s,D70s
a4600-kme_0377,Sony,Sony,DSLR-A900,DSLR-A900
a4603-Duggan_050714_1956,Canon,Canon,EOS 10D,EOS 10D
a4699-kme_0581,Sony,Sony,DSLR-A900,DSLR-A900
a4462-Duggan_090331_6525,Canon,Canon,EOS 5D,EOS 5D
a4821-kme_00032,Sony,Sony,DSLR-A900,DSLR-A900
a4670-Duggan_080115_4464,Canon,Canon,EOS 5D,EOS 5D
a4568-kme_0578,Sony,Sony,DSLR-A900,DSLR-A900
a4249-Duggan_090322_6001,Canon,Canon,EOS 5D,EOS 5D
a4789-20090419_at_15h33m19__MG_2190,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4725-DSC_0056,Nikon,Nikon,D70s,D70s
a4416-Duggan_090428_8159,Canon,Canon,EOS 5D,EOS 5D
a4825-DSC_0127,Nikon,Nikon,D80,D80
a4389-_DGW7865,Nikon,Nikon,D700,D700
a4402-_DSC0017,Nikon,Nikon,D70s,D70s
a4950-_DGW0249,Nikon,Nikon,D700,D700
a4283-20090417_at_00h57m06__MG_1696,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4989-IMG_2346,Canon,Canon,EOS 450D,EOS 450D
a4361-_DGW9031,Nikon,Nikon,D700,D700
a4433-Duggan_090504_8957,Canon,Canon,EOS 5D,EOS 5D
a4435-WP_CRW_0591,Canon,Canon,EOS 10D,EOS 10D
a4604-DSC_0003,Nikon,Nikon,D70s,D70s
a4823-DSC_0417,Nikon,Nikon,D80,D80
a4503-kme_0411,Sony,Sony,DSLR-A900,DSLR-A900
a4572-_MG_0727,Canon,Canon,EOS 20D,EOS 20D
a4423-kme_0931,Sony,Sony,DSLR-A900,DSLR-A900
a4245-_DGW9109,Nikon,Nikon,D700,D700
a4669-DSC_0152,Nikon,Nikon,D70s,D70s
a4538-DSC_0456,Nikon,Nikon,D80,D80
a4990-jmac_MG_1139,Canon,Canon,EOS 5D,EOS 5D
a4693-DSC_0233,Nikon,Nikon,D80,D80
a4727-Duggan_050704_0586,Canon,Canon,EOS 10D,EOS 10D
a4240-_DSC0017-1,Nikon,Nikon,D70s,D70s
a4716-DSC_0088,Nikon,Nikon,D70s,D70s
a4988-kme_0248,Sony,Sony,DSLR-A900,DSLR-A900
a4362-_DGW7864,Nikon,Nikon,D700,D700
a4783-20090321_at_19h16m32__MG_0220,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4355-_DGW0332,Nikon,Nikon,D700,D700
a4450-_DGW0270,Nikon,Nikon,D700,D700
a4222-kme_00035,Sony,Sony,DSLR-A900,DSLR-A900
a4597-Duggan_090226_5190,Canon,Canon,EOS 5D,EOS 5D
a4736-Duggan_090503_8761,Canon,Canon,EOS 5D,EOS 5D
a4997-kme_0558,Sony,Sony,DSLR-A900,DSLR-A900
a4229-_DGW0240,Nikon,Nikon,D700,D700
a4426-_DGW9439,Nikon,Nikon,D700,D700
a4890-kme_0220,Sony,Sony,DSLR-A900,DSLR-A900
a4662-Duggan_080115_4605,Canon,Canon,EOS 5D,EOS 5D
a4624-Duggan_090322_5962,Canon,Canon,EOS 5D,EOS 5D
a4830-20090419_at_17h05m59__MG_2226,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4303-DSC_0061,Nikon,Nikon,D70s,D70s
a4284-20090417_at_11h06m33__MG_1831,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4685-Duggan_080411_5945,Canon,Canon,EOS 5D,EOS 5D
a4382-DSC_0261,Nikon,Nikon,D80,D80
a4228-DSC_0037-2,Nikon,Nikon,D70s,D70s
a4619-kme_0823,Sony,Sony,DSLR-A900,DSLR-A900
a4933-Duggan_090428_8040,Canon,Canon,EOS 5D,EOS 5D
a4375-DSC_0029,Nikon,Nikon,D80,D80
a4395-Duggan_090503_8734,Canon,Canon,EOS 5D,EOS 5D
a4991-20090327_at_06h08m24__MG_0852,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4529-DSC_0407,Nikon,Nikon,D80,D80
a4555-Duggan_050709_1140,Canon,Canon,EOS 10D,EOS 10D
a4330-kme_0783,Sony,Sony,DSLR-A900,DSLR-A900
a4474-09-05-19-at-18h56m31s-_MG_9553,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4390-DSC_0161,Nikon,Nikon,D80,D80
a4250-kme_00047,Sony,Sony,DSLR-A900,DSLR-A900
a4551-kme_0625,Sony,Sony,DSLR-A900,DSLR-A900
a4266-DSC_0426,Nikon,Nikon,D80,D80
a4954-Duggan_080312_5489,Canon,Canon,EOS 5D,EOS 5D
a4623-DSC_0037,Nikon,Nikon,D70s,D70s
a4631-Duggan_080811_0493,Canon,Canon,EOS 5D,EOS 5D
a4472-Duggan_090504_9026,Canon,Canon,EOS 5D,EOS 5D
a4732-Ja_Pe-40,Leica,Panasonic,D-LUX 3,DMC-LX2
a4501-DSC_0354,Nikon,Nikon,D80,D80
a4347-kme_0947,Sony,Sony,DSLR-A900,DSLR-A900
a4785-kme_0585,Sony,Sony,DSLR-A900,DSLR-A900
a4843-DSC_0010,Nikon,Nikon,D70s,D70s
a4434-20090414_at_23h05m38__MG_1365,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4352-_DGW6241,Nikon,Nikon,D700,D700
a4885-DSC_0125,Nikon,Nikon,D80,D80
a4824-_DGW0282,Nikon,Nikon,D700,D700
a4424-DSC_0399,Nikon,Nikon,D80,D80
a4340-DSC_0441,Nikon,Nikon,D80,D80
a4216-DSC_0118,Nikon,Nikon,D80,D80
a4931-Duggan_090428_8054,Canon,Canon,EOS 5D,EOS 5D
a4702-_DSC0048-2,Nikon,Nikon,D70s,D70s
a4812-Duggan_090428_8086,Canon,Canon,EOS 5D,EOS 5D
a4207-kme_1045,Sony,Sony,DSLR-A900,DSLR-A900
a4859-_DGW0248,Nikon,Nikon,D700,D700
a4901-DSC_0234,Nikon,Nikon,D80,D80
a4405-20090419_at_18h01m18__MG_2264,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4763-Duggan_080203_5123,Canon,Canon,EOS 5D,EOS 5D
a4943-20090327_at_11h17m20__MG_0987,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4305-20090327_at_10h44m56__MG_0923,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4314-DSC_0062,Nikon,Nikon,D70s,D70s
a4307-20050328_161219__MG_0628,Canon,Canon,EOS 20D,EOS 20D
a4369-09-05-19-at-17h51m00s-_MG_9525,Canon,Canon,EOS 5D Mark II,EOS 5D Mark II
a4588-kme_00044,Sony,Sony,DSLR-A900,DSLR-A900
